direct_read_sequence,platform,source_url,page_label,review_id,language,review_date,stay_date,rating,bath_rating,room_rating,title,room_or_plan,body_char_count,onsen_related,bath_area_tags,signal_tags,issue_tags,original_keywords_short,short_paraphrase,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
28,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_22,ja,2023/2/1,2023年1月宿泊,5,4,4,接客が良かった！,本格懐石＆地元ブランド佐賀牛のステーキ（150ｇ）を存分に堪能するプラン　／夕・朝 ともにお部屋食,169,yes,facility_wide,water_texture,,お風呂;貸切;露天;風呂,무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
29,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_23,ja,2023/1/21,2023年1月宿泊,5,4,5,素晴らしい宿でした,【季節プラン　1/8～2/3】節分プラン／夕・朝 ともにお部屋食,206,yes,facility_wide,water_texture,,温泉,무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
30,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_24,ja,2022/12/5,2022年10月宿泊,5,5,5,お食事が最高,【季節プラン　9/1～10/31】お月見プラン／夕・朝 ともにお部屋食,99,yes,facility_wide,water_texture,,お風呂;風呂,무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
31,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_25,ja,2022/11/25,2022年11月宿泊,5,5,5,さすが「懐石宿」,季節プランの料理を１ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,195,yes,private_bath,private_bath_experience,,お風呂;貸し切り;風呂,대절/프라이빗탕 이용 경험 언급,positive,body_positive,high,issue_caution_calibration_needed
32,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_26,ja,2022/10/8,2022年9月宿泊,5,4,5,風呂は貸し切りのみです。,【西九州新幹線記念×お土産付】扇屋伝統の味をプレゼント！ぶらり武雄温泉満喫旅／１ランクUP懐石コース,92,yes,private_bath;public_bath,private_bath_experience;public_bath_hot_spring;water_texture,,大浴場;温泉;貸し切り;露天;風呂,대절/프라이빗탕 이용 경험 언급; 대욕장 유무 또는 대욕장 맥락 언급; 무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
33,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_27,ja,2022/9/21,2022年8月宿泊,4,5,4,良かったです。,季節プランの料理を２ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,401,yes,facility_wide,booking_confusion;water_texture,,お風呂;温泉;風呂,무기질감/피부감/온천감 언급,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
34,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_28,ja,2022/8/23,2022年8月宿泊,4,3,4,数寄屋造りに感動,【季節プラン　8/1～8/31】風鈴プラン／夕・朝 ともにお部屋食,198,yes,facility_wide,water_texture,,お風呂;不便;貸切;風呂,무기질감/피부감/온천감 언급,mixed,body_negative_with_context,high,issue_caution_calibration_needed
35,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_29,ja,2022/7/9,2022年7月宿泊,4,4,3,お風呂三昧,【気まま一人旅】～季節プランの料理を２ランクUPした懐石を味わう～ ／夕・朝 ともにお部屋食,162,yes,private_bath,private_bath_experience;water_texture,,お風呂;温泉;貸し切り;風呂,대절/프라이빗탕 이용 경험 언급; 무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
36,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/,archive_1,Jalan_archive_1_30,ja,2022/6/8,2022年6月宿泊,5,5,4,食事を楽しみに,【季節プラン　6/1～6/30】ホタル狩りプラン／夕・朝 ともにお部屋食,109,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,positive,body_positive,high,issue_caution_calibration_needed
37,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/2.HTML,archive_2,Jalan_archive_2_1,ja,2022/5/20,2022年5月宿泊,5,4,4,究極の料理,本格懐石＆地元ブランド佐賀牛のステーキ（150ｇ）を存分に堪能するプラン　／夕・朝 ともにお部屋食,58,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
38,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/2.HTML,archive_2,Jalan_archive_2_2,ja,2022/4/10,2022年2月宿泊,3,3,3,料理宿,季節プランの料理を１ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,83,yes,public_bath,public_bath_hot_spring,,大浴場;貸切;露天;風呂,대욕장 유무 또는 대욕장 맥락 언급,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
39,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/2.HTML,archive_2,Jalan_archive_2_3,ja,2022/4/4,2022年3月宿泊,4,4,4,2年振りの訪問！,季節プランの料理を２ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,274,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
40,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/2.HTML,archive_2,Jalan_archive_2_4,ja,2022/4/1,2022年3月宿泊,4,4,4,やっぱり部屋食は安心出来ました。,季節プランの料理を２ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,129,yes,private_bath,private_bath_experience;water_texture,,お風呂;温泉;貸し切り;露天;風呂,대절/프라이빗탕 이용 경험 언급; 무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
41,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/2.HTML,archive_2,Jalan_archive_2_5,ja,2022/3/5,2022年3月宿泊,5,5,5,大満足な宿,"揚げたて☆季節の天麩羅をメインにした贅沢懐石プラン　／夕・朝 ともにお部屋食 
 和洋室",122,yes,facility_wide,water_texture,room_coldness,冷;露天;風呂,무기질감/피부감/온천감 언급; 주의 신호: room_coldness,mixed,body_positive_and_negative,high,issue_caution_calibration_needed
42,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/2.HTML,archive_2,Jalan_archive_2_6,ja,2022/2/28,2022年1月宿泊,4,5,4,お風呂が良かったです,【季節プラン　1/1～1/14】お正月プラン／夕・朝 ともにお部屋食,164,yes,facility_wide,booking_confusion,stairs_access,お風呂;階段;風呂,주의 신호: stairs_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
43,Jalan,https://www.jalan.net/yad318558/kuchikomi/archive/2.HTML,archive_2,Jalan_archive_2_7,ja,2022/2/5,2022年1月宿泊,5,5,5,日頃のご褒美に…。,季節プランの料理を１ランクUPした懐石コースを堪能 ／夕・朝 ともにお部屋食,75,yes,private_bath,private_bath_experience;water_texture,,お風呂;温泉;貸し切り;風呂,대절/프라이빗탕 이용 경험 언급; 무기질감/피부감/온천감 언급,positive,body_positive,high,issue_caution_calibration_needed
