sample_no,review_id,platform,source_url,review_date,stay_date,language,rating,reviewer,room_or_plan,title,body_excerpt,bath_area_tags,keyword_tags,onsen_related,sample_layer,body_hash,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
199,jalan_archive_02_257,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2025/1/16,,ja,,,,オーシャンビューのお部屋は絶景,初めて星野リゾートに宿泊しました。お部屋はとても綺麗でゆっくりチェックアウトの時間まで過ごすことが出来ました。催しでの温泉水ミスト作成も楽しく旅の土産にもなり重宝してます。欲を言えばウェルカムドリンクの時間をもう少し長くしてもらえると嬉しいなと思いました。,facility_wide,booking_confusion,true,jalan_archive,aacd2b158496,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
200,jalan_archive_02_270,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2025/1/6,,ja,,,,夜店が楽しかったです,今回、2回目の宿泊になります。今回は時期もあり、たくさんのお客さんが利用をされていたからか、フロントの接客がとても簡素化されていたように思います。チェックインはお部屋でとのこと。鍵を渡されて「お部屋へどうぞ。係りが来るまでお待ち下さい。」と言われ自分たちでお部屋へ。少し素っ気なささえ感じチェックイン時だからこそ、残念に思う部分でした。お部屋での説明や夕食時の,facility_wide,view,true,jalan_archive,e2bf2ad9ffd2,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
201,jalan_archive_02_283,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/12/24,,ja,,,,細やかな心遣いが嬉しい。,母の米寿祝いで宿泊しました。夕食時に姉妹3人で母を囲み4人でビールを持っての写真を撮ってもらうと、アルバムにしてくださり嬉しかったです。いつもはアルコールは飲まない母ですが、美味しい料理に誘われ数年ぶりのビールを美味しそうに堪能していました。 その後の飲料として、緑茶がほうじ茶と聞かれましたが、午後からは睡眠のためにノンカフェインと伝えると、しばらくして麦茶,unclear,booking_confusion,false,jalan_archive,b3778bc74fee,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
202,jalan_archive_02_296,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/12/9,,ja,,,,異次元の空間で感激,車でホテルに着き、スタッフの方が和かに出迎えていただきました。 ここからが、今までに体験したことがない空間でした。ロビーに行くのかと思ったら、先ず忍者屋敷に入るみたいな専用エレベーターで2階に。フロントでチェックインはなくそのまま部屋でチェックイン。部屋は一面ガラス張りで別府湾が一望できる絶景が広がっていました。 ホテル内では、夕方夜店と銘打ってスマートボー,facility_wide,view,true,jalan_archive,e392e1f03a2c,positive,body_positive,high,body_sentiment_inference_needed
203,jalan_archive_02_309,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/12/8,,ja,,,,素敵なお宿でした,宿でゆっくりしたい そんな母の思いから 卆寿のお祝いを星野リゾートさんで過ごしました 温かいおもてなしとこだわりのあるお部屋に とても満足してくれた母 長生きしてくれたお陰で私と姉も母からのご褒美を頂いた気持ちになりました また伺いたいです,unclear,,false,jalan_archive,eb06bd10af0a,positive,body_positive,high,body_sentiment_inference_needed
204,jalan_archive_02_322,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/12/5,,ja,,,,さすが星野リゾートさん！,お部屋のピクチャーウィンドウからの景観は圧巻でした！朝日も見ることができ、穏やかな海の景色にどの時間帯も癒されました。また、お部屋の露天風呂も最高でした。 館内の照明や、大分名産の竹細工のインテリアなども素敵で星野さんの地域に密着したテーマや工夫も楽しめました。 ウェルカムドリンクのスパークリングワインがとてもおいしかったです。ただ17時までのサービスで時間,room_open_air_bath,booking_confusion|open_air_public_bath|room_open_air_bath|view,true,jalan_archive,5398f4ffffcd,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
205,jalan_archive_02_335,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/12/3,,ja,,,,大好きなお宿です,今回2度目で11階の特別室を利用させてもらったんですが、お部屋も清潔感も景色も接客も最高だったんですが… 部屋風呂のお風呂に湯の花かな。 相当な茶色のヌルヌルが浮いていて… 少しありすぎかなと…。一度お湯を全て抜きたかったです。そけだけです！大浴場は少しだけ塩素の匂いが気になりました。でもまた行きたいと思います,public_bath|room_bath,chlorine_smell|cleaning_or_maintenance|public_bath|room_bath|view,true,jalan_archive,07f64f0dca4b,negative,negative_signal_tag,high,body_sentiment_inference_needed
206,jalan_archive_02_348,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/12/1,,ja,,,,大きな窓の解放感,大きな窓から別府湾が一望できます。朝焼けがきれいでした。ウォークインクロゼットにスーツケースなどは全部収納できるので、部屋がすっきり、ホテルライクな気分になれます。ただ、洗面所の明かりが少しくらいので、お化粧するのは不便でした。 縁日などのアクティビティがあり、チェックアウトも１２時なので、宿の中でのんびり、ゆっくり、楽しく過ごしたいという方にはお勧めです。,unclear,booking_confusion|view,false,jalan_archive,f80901626d4e,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
207,jalan_archive_02_361,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/11/26,,ja,,,,おもてなしの宿,楽しみにしていた星野リゾート界別府。 生憎の雨で部屋からの景色は残念でしたが、食事、温泉と満足でした。特に、スタッフの方々の笑顔が印象的でした。 また、伺いたいと思います。,facility_wide,view,true,jalan_archive,1c08fb21d5ae,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
208,jalan_archive_02_374,Jalan,https://www.jalan.net/yad352850/kuchikomi/archive/,2024/11/25,,ja,,,,夫婦旅行,星野リゾート別府にお世話なりました。家内の誕生日も兼ねて、スタッフの心使いがとても良かった。施設の清潔感、料理の美味しさは、格別、また、利用したいと思っています。,unclear,cleaning_or_maintenance,false,jalan_archive,47d78c5fe2c0,mixed,conditional_signal_tag,medium,body_sentiment_inference_needed
