sample_no,source,source_subtype,review_id,review_date,stay_date,author,profile,rating,bath_score,language,is_onsen_related,bath_area_tags,matched_keywords,room_or_plan,title,body,source_url,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
252,Jalan,jalan_archive,12850973,2023/1/2,,,,,4,ja,True,facility_wide,温泉;熱;熱すぎ;掃除;予約,,母の米寿祝い,"母も米寿になり、だんだんと脚も弱くなってきて、宿泊はいつもお部屋に温泉付きを探して泊まっています。かんな和さんは新しくはないですが、とても清潔に掃除が行き届いて、部屋も広くて、ゆつくりと寛げました。お料理は素材が新鮮で、お出汁の味も良く、盛り付けも綺麗だし、「本当は偏食が多い私たちですが」とても美味しく頂きました。写真撮って母のお友達に見せたら「行きたい」と。また3月に予約取りました。母の元気なうちにと思い、年に2,3回は旅行していますが、今まで利用した中でもトップクラスです。温泉は少し熱めで最初は適温だったけど、朝熱すぎるくらいでした。お部屋に鏡台が無かったのが残念てす。立ったまま化粧するのが高齢者にはきつい。「鏡の位置が何故か高すぎるとおもいました」後駐車場が分かりづらく、ナビどおりに行くと建物の裏側に行ってしまいました",https://www.jalan.net/yad324134/kuchikomi/archive/,mixed,body_negative_with_context,high,body_sentiment_inference_needed
253,Jalan,jalan_archive,12832664,2022/12/22,,,,,5,ja,True,facility_wide,温泉;風呂;露天,,温泉が気持ちよく、子連れにも安心！,初めての利用でした！到着後のお部屋でのお茶と生菓子を頂きほっこり。子ども用にも準備してあり美味しかったです。また部屋にも温泉がついてますが、無料で空いてたら何度も入れる貸し切り露天風呂もあり子どもが気に入り何度も入りに行けました！子供用にオムツ捨てや、キャラクターの洗面器類も部屋に準備してあり温泉に行くたびに喜んでました。スタッフの方も丁寧に接してくださり、もちろん食事も美味しく部屋食なので気にせずゆっくり食べれました。また大分に行く機会があれば伺いたいです。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
254,Jalan,jalan_archive,12826677,2022/12/19,,,,,5,ja,True,room_bath;family_bath,風呂;内湯;湯;家族風呂,,さすが割烹旅館だけにお料理は繊細で美味しい,夫婦二人と20代の息子でお世話になりましたが、お料理が美味しくボリュームも満足でした。内湯と家族風呂もゆっくりできました。またお世話になりたいと思います。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
255,Jalan,jalan_archive,12820429,2022/12/16,,,,,4,ja,True,facility_wide,水;予約,,静寂なひと時,大学生となった子ども達をアメリカに残し、20年ぶりの夫婦水入らずの旅となりました。今回泊まったお宿のスタッフ全員感じがよく、お料理も目で楽しませてくれるような日本でしか味わえないようなものでした。翌日観光タクシーを12時に予約してしまい、チェックアウトもそれに合わせて変更して下さり、そのご対応に大変感謝しています。思い出に残る時間をありがとうございました。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
256,Jalan,jalan_archive,12820287,2022/12/16,,,,,5,ja,False,,,,ゆっくり出来ました。,子供3人を連れて初めての大分旅行でこちらの宿を 利用させていただきました。 いつもの旅行はホテルばかりなので、子供たちも大喜び！ 部屋食なので、小さい子供がいてゆっくり 食事を楽しむ事が出来ました。 旅館の方たちもとても親切で接客もすごく丁寧で たくさん良くしていただき、お陰様で良い思い出が出来ました。 また機会があれば絶対に利用したいです。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
257,Jalan,jalan_archive,12805374,2022/12/9,,,,,5,ja,True,facility_wide,温泉;風呂;狭,,お部屋に温泉があるところが魅力的,今回家族旅行で別府に行くことになり宿泊させていただきました。お部屋に温泉がついているということで選ばさせていただきましたが、とても良かったです。内風呂温泉で狭いと思っていたのですが、想像より大きかったところや、上がガラスだったので少しですが外が見えるところが良かったです。一つだけ残念だったのは、ガラスに落ち葉がのっていて少し外の景色が見えにくかったところです。自然現象なので仕方ないとは思いますが満足です。 食事も部屋食でゆったり食べれて、味もおいしかったです。大分名産のものもあり大変良かったです。食事少なめコースでしたがお腹いっぱいになりました。 接客もとても良かったです。時間ギリギリのチェックインになりましたが、丁寧に対応していただき、ありがたかったです。帰る前に忘れ物がないかチェックしてくださったり、とても皆さん笑顔が素敵でした。別府に行く機会があれば、また泊まってみたいと思いました。 本当にありがとうございました！,https://www.jalan.net/yad324134/kuchikomi/archive/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
258,Jalan,jalan_archive,12805168,2022/12/9,,,,,5,ja,True,facility_wide,温泉;湯;お湯;臭,,ゆっくり、出来ました。,4泊5日の九州旅行で、最終日に、こちらのお宿に宿泊しましたが、とても、のんびりゆっくり出来て良かったです。 スタッフの対応は、抜群に良かったです。 お湯も、大変気持ち良かったです。 お料理も、一つ一つ丁寧なお味だなあ、と感じました。 普段、お酒を飲むと、あまり食べませんが、夕食は完食、朝食は、ほぼほぼ完食してしまいました。 普段の観光目的は、お宿の雰囲気と温泉と、お料理(見るのが好きです)で、観光は、あまりしませんので、毎日お宿を変えてますが、次回は、こちらのお宿に連泊して、別府観光をしたいなあと、考えてます。 仲居さんは、若い方が多かったですが、指導教育を徹底されてるんだなあ、と感じるくらい、大変良かったです。 別府駅付近の居酒屋さん(当日と翌日２回)、タクシーの運転手さん、道をお尋ねした方、別府の方々は、とても優しく、対応して頂きました。 有り難うございます。 お宿に一つだけ、私、喫煙ですが、出来ましたら、お部屋に、ファブリーズか、消臭剤を置いといて頂けましたら、と、思います。,https://www.jalan.net/yad324134/kuchikomi/archive/,mixed,body_positive_and_negative,high,body_sentiment_inference_needed
259,Jalan,jalan_archive,12802088,2022/12/7,,,,,5,ja,True,facility_wide,風呂,,大人の隠れ宿,コロナ禍で遠くに行けない分地元の宿やホテルで楽しんでいます。さすが割烹旅館さん、お部屋、料理、お風呂すべて大満足でしたがなかでも仲居さんの感じがとても良かったです。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
260,Jalan,jalan_archive,12799190,2022/12/6,,,,,5,ja,False,,,,子連れでも安心、素敵なお宿でした,小さい子供2人を連れての旅行、部屋は広く、とても綺麗でした。お料理もとても美味しかったです。部屋食なので、小さい子供がいてもゆっくり食べれました。食事を運んで来られる仲居さんは笑顔も接客も素敵でした。また機会があれば利用させていただきます。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
261,Jalan,jalan_archive,12788119,2022/11/29,,,,,4,ja,True,facility_wide,温泉,,また、利用したいです,料理も美味しく、従業員さん達もとても気持ちが良い接客でした。部屋も落ち着いた雰囲気でゆっくり出来ました。温泉も何度も入るのに良い温度で良かったです。,https://www.jalan.net/yad324134/kuchikomi/archive/,positive,body_positive,high,body_sentiment_inference_needed
